0 0 0 0 0 0 0 0 0 0 0 0  1 0
0 0 0 0 0 0 0 0 0 0 1 0  1 0
0 0 0 0 0 0 0 0 1 0 0 0  1 0
0 0 0 0 0 0 0 0 1 0 1 0  1 0
0 0 0 0 0 0 1 0 0 0 0 1  1 0
0 0 0 0 0 0 1 0 1 0 0 0  1 0
0 0 0 0 0 1 0 0 0 0 0 0  1 0
0 0 0 0 0 1 0 1 0 1 1 1  1 0
0 0 0 0 1 0 0 0 1 0 1 0  1 0
0 0 0 0 1 0 0 1 0 0 0 0  1 0
0 0 0 0 1 0 1 0 0 0 0 0  1 0
0 0 0 0 1 1 0 1 0 1 0 1  1 0
0 0 0 1 0 0 0 0 0 1 0 1  1 0
0 0 0 1 0 0 0 1 0 0 0 1  1 0
0 0 0 1 0 1 0 1 0 1 0 0  1 0
0 0 0 1 1 0 0 0 0 0 0 1  1 0
0 0 1 0 0 0 0 1 0 0 0 0  1 0
0 0 1 1 1 1 1 1 1 1 1 1  0 2
0 1 0 0 0 0 0 1 0 0 1 0  1 0
0 1 0 0 0 0 0 1 1 1 1 1  1 0
0 1 0 0 0 0 1 0 0 0 0 0  1 0
0 1 0 0 0 0 1 0 0 0 1 0  1 0
0 1 0 0 0 0 1 1 0 0 1 0  1 0
0 1 0 0 1 0 0 0 1 0 1 1  1 0
0 1 1 0 0 0 0 1 0 0 1 0  1 0
0 1 1 0 1 0 0 0 0 0 0 0  1 0
0 1 1 0 1 0 0 0 1 1 0 1  1 0
0 1 1 0 1 0 1 0 0 0 0 0  1 0
0 1 1 0 1 1 1 1 0 1 1 1  0 1
0 1 1 1 1 1 1 0 1 1 0 0  0 1
0 1 1 1 1 1 1 1 0 1 1 1  0 1
0 1 1 1 1 1 1 1 1 1 0 1  0 1
0 1 1 1 1 1 1 1 1 1 1 0  0 2
0 1 1 1 1 1 1 1 1 1 1 1  0 7
1 0 0 0 0 0 0 0 0 1 0 0  1 0
1 0 0 0 0 0 0 0 0 1 0 1  1 0
1 0 0 0 0 0 0 0 0 1 1 0  1 0
1 0 0 0 0 0 0 1 0 0 1 1  1 0
1 0 0 0 0 0 1 0 0 1 0 0  1 0
1 0 0 0 0 1 0 0 0 0 0 0  1 0
1 0 0 0 1 1 1 0 0 1 0 0  1 0
1 0 0 1 0 0 0 0 0 1 0 0  1 0
1 0 0 1 0 0 1 1 0 0 0 1  1 0
1 0 0 1 0 1 0 0 0 0 0 0  1 0
1 0 0 1 0 1 1 1 1 1 1 1  0 1
1 0 0 1 1 1 1 1 0 0 1 1  1 0
1 0 0 1 1 1 1 1 1 1 0 0  0 1
1 0 1 0 0 1 1 1 1 1 1 1  0 2
1 0 1 1 0 0 0 0 0 0 0 0  1 0
1 0 1 1 1 0 1 1 1 0 1 1  0 1
1 0 1 1 1 1 1 0 1 1 1 1  0 1
1 0 1 1 1 1 1 1 1 1 1 0  0 1
1 0 1 1 1 1 1 1 1 1 1 1  0 6
1 1 0 0 0 0 0 0 0 1 0 1  1 0
1 1 0 0 0 0 1 0 1 0 0 0  1 0
1 1 0 0 0 0 1 1 0 1 0 0  1 0
1 1 0 1 0 0 0 0 0 1 0 1  1 0
1 1 0 1 1 1 1 1 1 1 0 1  0 1
1 1 0 1 1 1 1 1 1 1 1 0  0 1
1 1 0 1 1 1 1 1 1 1 1 1  0 7
1 1 1 0 0 0 0 0 0 0 0 1  1 0
1 1 1 0 1 0 0 0 1 1 1 1  1 0
1 1 1 0 1 0 1 1 0 1 1 0  1 0
1 1 1 0 1 0 1 1 1 1 1 1  0 1
1 1 1 0 1 1 0 1 0 1 1 1  1 0
1 1 1 0 1 1 1 1 1 1 1 0  0 1
1 1 1 0 1 1 1 1 1 1 1 1  0 7
1 1 1 1 0 1 0 1 0 1 1 0  1 0
1 1 1 1 0 1 0 1 1 1 1 1  0 1
1 1 1 1 0 1 1 1 1 1 1 1  0 11
1 1 1 1 1 0 0 1 1 1 1 1  0 1
1 1 1 1 1 0 1 1 1 1 1 1  0 5
1 1 1 1 1 1 0 0 1 1 1 1  0 1
1 1 1 1 1 1 0 1 1 0 1 1  0 1
1 1 1 1 1 1 0 1 1 1 0 1  0 1
1 1 1 1 1 1 0 1 1 1 1 1  0 5
1 1 1 1 1 1 1 0 0 0 0 0  0 1
1 1 1 1 1 1 1 0 0 1 1 1  0 1
1 1 1 1 1 1 1 0 1 1 0 1  0 1
1 1 1 1 1 1 1 0 1 1 1 1  0 10
1 1 1 1 1 1 1 1 0 0 0 0  0 1
1 1 1 1 1 1 1 1 0 1 1 1  0 5
1 1 1 1 1 1 1 1 1 0 1 1  0 7
1 1 1 1 1 1 1 1 1 1 0 1  0 6
1 1 1 1 1 1 1 1 1 1 1 0  0 6
1 1 1 1 1 1 1 1 1 1 1 1  0 122
